idpif,superficie_arbolada,superficie_no_arbolada,Fecha,Longitud,Latitud,INCENDIO,Altitud,Pendiente,Orientacion,NDVI,LandCover,Temp_C,Lluvia_mm,Viento_U
Y0_1118,0.0,0.0,2014-06-09,-2.654166666666666,38.65055555555556,0,901.0,9.013878188659971,250.55996517182385,3.903e-05,9.0,19.432397460937523,0.1901865034596994,1.338348388671875
Y0_413,0.0,0.0,2016-06-01,-2.006666666666666,39.31416666666667,0,736.0,0.7071067811865476,225.0,2.9350000000000005e-05,12.0,14.686425781250025,0.0017166130419354,-0.7774105072021484
1238687,0.02,0.0,2018-08-28,-2.0752775587183083,38.53014896539101,1,921.0,0.7071067811865476,225.0,2.589e-05,7.0,20.862695312500023,0.0195056200027465,-1.1138763427734375
Y0_1231,0.0,0.0,2006-06-07,-2.3158333333333325,38.511944444444445,0,1171.0,11.04536101718726,95.1944289077348,5.309e-05,9.0,12.774804687500025,0.0004351138045421,-0.418487548828125
Y0_1273,0.0,0.0,2017-03-19,-1.5197222222222215,38.88722222222223,0,908.0,1.0,270.0,4.2810000000000005e-05,12.0,5.767480468750023,0.0053682933867094,0.98583984375
996977,0.0,1.0,2005-03-11,-1.4749507283762433,39.19211589983525,1,538.0,0.0,180.0,3.4110000000000004e-05,7.0,5.551904296875023,0.0012874603498858,-0.5823974609375
Y0_637,0.0,0.0,2024-08-02,-1.625277777777777,39.1,0,675.0,1.5,90.0,1.803e-05,7.0,26.179223632812523,0.0021312280296115,0.839263916015625
1049751,0.0,0.01,2008-05-04,-1.3759767881679064,39.19752681151967,1,518.0,4.716990566028302,57.9946167919165,3.231e-05,7.0,12.351708984375025,0.0017106531231547,-1.391387939453125
1228075,0.0,0.02,2020-11-18,-2.073159520550916,38.55215705789429,1,615.0,6.103277807866851,214.99202019855863,4.592e-05,9.0,6.829980468750023,0.0038599791878368,1.5004730224609375
1088821,0.0,0.08,2011-09-07,-1.1016220050430936,38.837381546244096,1,803.0,1.5811388300841898,288.434948822922,2.345e-05,7.0,18.662500000000023,0.0576257698412518,0.7235870361328125
997008,0.0,0.02,2005-04-26,-2.0728594040895008,38.55675970097588,1,735.0,12.16552506059644,260.5376777919744,3.827000000000001e-05,9.0,9.439843750000025,0.0008523463748133,-1.2373199462890625
Y0_996,0.0,0.0,2015-06-17,-2.904444444444444,39.13666666666667,0,709.0,1.118033988749895,333.434948822922,2.491e-05,7.0,14.156152343750025,0.0486373901367187,-0.4635162353515625
Y0_314,0.0,0.0,2006-04-26,-2.114444444444444,38.23638888888889,0,1343.0,8.845903006477066,317.29061004263855,3.34e-05,7.0,8.146630859375023,0.0004410743486005,0.94976806640625
Y0_1358,0.0,0.0,2024-12-21,-2.031666666666666,38.4825,0,829.0,4.031128874149275,150.25511870305778,5.41e-05,7.0,1.0416503906250227,0.087052583694458,1.2080059051513672
Y0_77,0.0,0.0,2001-06-26,-2.3997222222222216,38.04833333333334,0,1556.0,4.743416490252569,251.565051177078,3.2330000000000004e-05,7.0,17.881494140625023,0.0012814989531761,1.712921142578125
1022455,0.0,0.75,2006-03-27,-2.297751253336524,38.41481781805186,1,599.0,4.301162633521313,305.5376777919744,1.757e-05,9.0,9.867578125000025,0.0012836944733862,1.550537109375
Y0_928,0.0,0.0,2000-08-10,-2.965277777777777,39.473888888888894,0,692.0,2.0615528128088303,284.03624346792645,1.8e-05,7.0,23.321679687500023,0.0034451468309271,-2.7001495361328125
Y0_997,0.0,0.0,2005-11-20,-1.7316666666666658,38.96416666666667,0,784.0,1.5811388300841898,108.43494882292202,2.558e-05,10.0,8.319238281250023,0.0043982663555652,-2.845550537109375
Y0_677,0.0,0.0,2011-08-01,-2.004444444444444,38.98194444444445,0,691.0,1.0,0.0,2.08e-05,12.0,21.701074218750023,0.0033110372896771,-1.7805633544921875
Y0_726,0.0,0.0,2017-04-25,-1.3224999999999991,38.68694444444445,0,861.0,4.47213595499958,296.565051177078,3.381e-05,7.0,12.591943359375025,0.0017225738702109,-0.45989990234375
Y0_510,0.0,0.0,2005-07-13,-2.489722222222221,39.456388888888895,0,739.0,0.5,0.0,2.351e-05,12.0,23.421777343750023,0.1389920653309673,-1.20550537109375
Y0_640,0.0,0.0,2006-04-23,-2.117222222222221,39.22583333333333,0,723.0,1.0,180.0,2.2e-05,12.0,10.174218750000025,6.022607907652855,-3.540756225585937
Y0_725,0.0,0.0,2014-08-15,-1.490277777777777,39.39555555555556,0,530.0,2.549509756796392,281.30993247402023,3.355e-05,9.0,20.174462890625023,0.0820159912109375,-2.5438232421875
Y0_1148,0.0,0.0,2021-05-27,-2.5366666666666657,38.79944444444445,0,1007.0,1.0,270.0,3.408e-05,10.0,13.661401367187525,0.1201345876324921,-2.0017852783203125
1227417,0.0,0.001,2020-06-03,-1.7440673145224197,39.13775911210617,1,609.0,2.5,126.86989764584402,4.949e-05,9.0,18.386010742187523,0.0008388814194404,-0.9201507568359376
1222664,0.0,0.02,2016-03-29,-2.847299550247589,38.93872545248175,1,825.0,3.2015621187164243,141.34019174590992,3.87e-05,7.0,6.049707031250023,0.0002682209014892,0.9888153076171876
Y0_681,0.0,0.0,2016-05-13,-2.125277777777777,39.16305555555556,0,707.0,1.5811388300841898,71.56505117707799,3.364e-05,12.0,7.944726562500023,2.276900690048933,3.60589599609375
1088815,0.01,0.0,2011-08-29,-1.4891609778940795,38.45300637480059,1,612.0,5.522680508593631,264.8055710922652,2.7540000000000004e-05,7.0,19.918725585937523,0.1358223235001787,-0.2872772216796875
Y0_1030,0.0,0.0,2008-07-11,-1.1466666666666658,38.90305555555556,0,724.0,2.23606797749979,296.565051177078,2.054e-05,10.0,22.302758789062523,0.0004261731874066,1.862945556640625
Y0_680,0.0,0.0,2003-08-12,-2.45,38.28388888888889,0,963.0,15.890248582070704,347.2756443145776,6.232e-05,10.0,19.822167968750023,0.001287331997446,-1.11773681640625
1088812,0.0,0.04,2011-08-28,-1.3066587534414973,39.10540035807232,1,891.0,0.0,180.0,3.4200000000000005e-05,7.0,17.605371093750023,0.0004351138045421,-1.7544403076171875
1132045,0.0,0.09,2014-09-02,-1.803235397529709,38.56858801167082,1,991.0,9.013878188659971,109.4400348281762,3.26e-05,7.0,21.904077148437523,0.0073346845965716,-0.8955230712890625
Y0_1243,0.0,0.0,2019-09-05,-1.570277777777777,38.59305555555556,0,614.0,3.640054944640259,105.94539590092286,2.096e-05,12.0,20.193261718750023,0.3300845564808696,-2.772323608398437
1061509,0.0,0.01,2009-12-13,-1.5638836007693948,39.268546376268446,1,661.0,2.23606797749979,206.565051177078,2.797e-05,7.0,3.1976562500000227,0.0016272067568934,-1.9245758056640625
Y0_105,0.0,0.0,2002-02-08,-2.589166666666666,39.02361111111112,0,901.0,3.640054944640259,105.94539590092286,2.913e-05,12.0,4.316796875000023,0.0004387795229376,0.7185211181640625
1105193,1.0,0.0,2012-04-09,-2.288261533425399,38.39434812562912,1,725.0,2.9154759474226504,300.9637565320735,3.5100000000000006e-05,9.0,6.759912109375023,0.0004351138045421,1.37872314453125
