idpif,superficie_arbolada,superficie_no_arbolada,Fecha,Longitud,Latitud,INCENDIO,Altitud,Pendiente,Orientacion,NDVI,LandCover,Temp_C,Lluvia_mm,Viento_U
Y0_95,0.0,0.0,2000-06-03,-2.054166666666666,38.97916666666667,0,696.0,0.0,180.0,2.188e-05,12.0,19.352929687500023,0.0012916955256514484,-1.8069915771484375
Y0_96,0.0,0.0,2020-05-18,-2.4122222222222214,38.49416666666667,0,944.0,2.0615528128088303,255.96375653207352,5.924e-05,10.0,8.073632812500023,2.255552913993597,1.3113250732421875
Y0_97,0.0,0.0,2011-04-09,-2.7894444444444435,39.135000000000005,0,748.0,1.0,0.0,4.2080000000000004e-05,7.0,13.597070312500023,0.0,1.22467041015625
Y0_98,0.0,0.0,2013-04-06,-2.30611111111111,39.29222222222223,0,727.0,0.7071067811865476,315.0,4.228e-05,12.0,3.4449707031250227,3.4099696204066277,2.538909912109375
Y0_99,0.0,0.0,2004-09-24,-1.9411111111111103,38.97888888888889,0,677.0,1.4142135623730951,225.0,2.313e-05,7.0,20.026269531250023,0.0,1.3893890380859375
Y0_100,0.0,0.0,2004-06-12,-2.025277777777777,38.70944444444445,0,1162.0,6.18465843842649,104.03624346792648,4.6580000000000005e-05,7.0,16.287011718750023,0.0008566786959818273,-0.9134521484375
Y0_101,0.0,0.0,2025-07-04,-1.162777777777777,38.940000000000005,0,909.0,1.5811388300841898,161.565051177078,2.606e-05,7.0,22.888085937500023,0.5777656915597618,-0.7238616943359375
Y0_102,0.0,0.0,2011-08-08,-1.5624999999999991,38.99611111111111,0,933.0,2.5495097567963922,191.3099324740202,2.37e-05,7.0,24.717919921875023,0.0008583068620282575,2.857574462890625
Y0_103,0.0,0.0,2018-05-19,-1.8736111111111104,38.9875,0,681.0,1.118033988749895,116.56505117707799,2.6030000000000003e-05,13.0,13.584619140625023,0.3255635383538902,-1.6078338623046875
Y0_104,0.0,0.0,2022-09-20,-1.3241666666666658,39.065000000000005,0,1080.0,6.363961030678928,135.0,5.788e-05,10.0,16.826684570312523,0.010914030099229421,-0.0563507080078125
Y0_105,0.0,0.0,2002-02-08,-2.589166666666666,39.02361111111112,0,901.0,3.640054944640259,105.94539590092286,2.913e-05,12.0,4.316796875000023,0.0004387795229376934,0.7185211181640625
Y0_106,0.0,0.0,2014-03-12,-1.961944444444444,39.12305555555556,0,693.0,1.118033988749895,153.434948822922,3.5550000000000004e-05,12.0,4.820703125000023,0.0,-2.1789093017578125
Y0_107,0.0,0.0,2014-07-06,-1.9624999999999992,38.30805555555556,0,799.0,3.0413812651491097,9.462322208025617,5.6030000000000004e-05,10.0,17.939111328125023,0.0004410743486005231,1.053466796875
Y0_108,0.0,0.0,2015-08-06,-1.1347222222222215,38.86944444444445,0,764.0,2.0,180.0,1.896e-05,7.0,23.622460937500023,0.9652972221374512,0.3910369873046875
Y0_109,0.0,0.0,2010-05-24,-2.987777777777777,39.27861111111111,0,647.0,0.5,270.0,2.7150000000000003e-05,7.0,18.820214843750023,0.1786977081792429,-1.0479583740234375
Y0_110,0.0,0.0,2013-08-18,-2.575277777777777,39.519444444444446,0,764.0,2.5495097567963922,348.69006752597977,2.6269999999999998e-05,12.0,22.251367187500023,0.000852346317969932,-3.8396148681640625
Y0_111,0.0,0.0,2017-04-01,-1.9905555555555547,38.93666666666667,0,688.0,1.5811388300841898,341.565051177078,8.604000000000001e-05,12.0,11.255151367187523,0.9963751072064042,3.8336029052734375
Y0_112,0.0,0.0,2010-06-24,-2.7283333333333326,39.130833333333335,0,767.0,1.0,270.0,2.674e-05,12.0,18.584619140625023,0.002145765392924659,-2.5051422119140625
Y0_113,0.0,0.0,2016-05-26,-2.912499999999999,38.50555555555556,0,795.0,0.0,180.0,5.198000000000001e-05,10.0,15.907006835937523,0.07665157318115234,-0.1683807373046875
Y0_114,0.0,0.0,2017-01-13,-2.8058333333333327,38.76222222222223,0,972.0,0.5,0.0,3.09e-05,10.0,5.956933593750023,0.0007748603820800781,2.6815032958984375
Y0_115,0.0,0.0,2006-05-18,-1.5147222222222214,38.575833333333335,0,592.0,1.118033988749895,333.434948822922,1.949e-05,7.0,21.204248046875023,0.0,-0.1959228515625
Y0_116,0.0,0.0,2020-07-26,-1.9622222222222212,39.22305555555556,0,714.0,1.0,90.0,2.8190000000000003e-05,12.0,24.951562500000023,0.0,-2.616912841796875
Y0_117,0.0,0.0,2016-02-02,-2.6244444444444435,38.76388888888889,0,1012.0,1.118033988749895,206.565051177078,5.3500000000000006e-05,10.0,4.681787109375023,0.0017210477381013334,-0.8093109130859375
Y0_118,0.0,0.0,2011-06-27,-2.4969444444444435,38.8325,0,1010.0,1.118033988749895,243.43494882292202,2.9550000000000003e-05,6.0,22.087060546875023,0.0017202387425641064,-1.2961883544921875
Y0_119,0.0,0.0,2013-08-03,-2.2866666666666657,38.93361111111111,0,934.0,3.0413812651491097,279.4623222080256,3.105e-05,7.0,23.717187500000023,1.4890730381011963,0.563934326171875
Y0_120,0.0,0.0,2012-03-23,-1.5124999999999993,38.82888888888889,0,921.0,2.0,270.0,2.998e-05,7.0,2.5838867187500227,0.0017166139514301904,-0.935089111328125
Y0_121,0.0,0.0,2023-06-23,-1.9097222222222212,39.4975,0,805.0,3.1622776601683795,18.43494882292201,3.724e-05,12.0,17.372705078125023,0.003602246579248458,-1.945526123046875
Y0_122,0.0,0.0,2001-07-05,-2.7433333333333327,38.50194444444445,0,746.0,2.0,90.0,5.957e-05,9.0,20.127099609375023,0.0008285045396405621,2.411163330078125
Y0_123,0.0,0.0,2005-05-22,-2.6663888888888883,39.24055555555556,0,715.0,1.5,90.0,2.3140000000000002e-05,12.0,18.907495117187523,0.04194676876068115,1.28326416015625
Y0_124,0.0,0.0,2011-08-26,-2.194444444444444,38.856388888888894,0,882.0,3.5355339059327378,81.86989764584403,2.531e-05,7.0,23.509179687500023,0.001294743015023414,3.3227691650390625
